,Unnamed: 0,R,v,kind
0,82549,13.840297231118234,53.02496595147239,mem
1,82551,39.73344409261399,58.902648975502316,mem
2,82552,42.59714715789313,43.7222669437177,mem
3,82553,85.13750914674601,67.48066373537645,mem
4,82554,134.13374751638133,49.0413148033093,mem
5,82555,105.89176034019049,47.19221310663914,mem
6,82556,20.618904397437877,43.28690690335641,mem
7,82557,48.65275375009527,46.718128609524214,mem
8,82558,164.5218368830566,46.09526419038446,mem
9,82559,140.6405430871173,73.05259159305312,mem
10,82560,34.27513731484745,39.78675965532202,mem
11,82561,154.35044058282395,36.385530491948856,mem
12,82562,72.26825563788205,49.91275292897684,mem
13,82564,51.9779234192066,59.44912789628333,mem
14,82565,107.69207402304457,49.682232708255604,mem
15,82566,42.10333218157961,54.95261032683753,mem
16,82567,90.9135619449119,41.46476092333751,mem
17,82568,116.16945499157795,44.7173824231176,mem
18,82569,194.4143196566766,36.06005131801696,mem
19,82570,157.89665547382756,24.11014309051319,mem
20,82571,166.52670643395228,31.24706099474687,mem
21,82572,113.16879255082422,67.55786842849136,mem
22,82573,178.2770270417591,42.97000107848671,mem
23,82574,92.45477344634081,47.26300141329916,mem
24,82575,124.82166983618006,63.04766441739806,mem
25,82576,56.11397864997854,71.3792069393224,mem
26,82578,43.126126104737814,34.9951713535162,mem
27,82579,107.46674340647787,23.186318458617833,mem
28,82581,53.174022447083985,69.61411414811317,mem
29,82582,69.15165828919595,48.159172246022976,mem
30,82583,82.70962129362304,69.87995231862402,mem
31,82584,118.76829248110128,59.14536698728305,mem
32,82585,36.002550987801946,71.0804001529597,mem
33,82586,67.75622858437363,71.1863138947933,mem
34,82588,82.96215510106083,29.841858145747327,mem
35,82589,150.25872722498508,58.0734388788069,mem
36,82590,92.55347491061049,67.67198943550927,mem
37,82592,41.01482162954997,18.18858576050295,mem
38,82593,93.20167422204969,74.74163866855133,mem
39,82594,177.4445235593747,35.711662710271156,mem
40,82595,129.22883240378573,55.701414521646974,mem
41,82596,91.97627424636845,27.845026253252072,mem
42,82597,86.56164030459806,44.219106044020116,mem
43,82598,121.25546728456165,73.94207854187155,mem
44,82599,198.4374759801491,97.37475309287399,mem
45,82600,132.19257935928823,62.33787888860253,mem
46,82601,85.94483031932596,58.677546366380646,mem
47,82602,92.89218927549248,37.20333648857429,mem
48,82604,152.63755783078724,26.93688261528707,mem
49,82606,68.80329408933335,52.18876744528486,mem
50,82610,16.72800224711648,43.921004608154725,mem
51,82611,199.0236423580864,16.391814059200627,mem
52,82613,70.59249299476981,54.563612637842205,mem
53,82614,40.10854628642735,45.323140204254884,mem
54,82615,126.63005890556728,70.2674137201311,mem
55,82618,119.97200464408793,29.528714030252136,mem
56,82621,180.428727326044,45.64249312591076,mem
57,82622,66.91434397043325,40.59215949308694,mem
58,82623,21.1657588232026,39.5355354139555,mem
59,82624,58.135299178360576,42.17089097171941,mem
60,82627,15.838732916455907,39.18611281718781,mem
61,82628,121.0677958317827,41.80676616127611,mem
62,82629,92.96231484174116,60.1546149037502,mem
63,82630,113.62062115938446,71.08186604469573,mem
64,82631,67.48198851280615,69.1473765069424,mem
65,82632,197.6999336874811,29.191361367084077,mem
66,82633,87.20149130250607,40.40956066718218,mem
67,82635,108.90788505458849,38.19459716764211,mem
68,82636,32.3765855597132,53.06622534926536,mem
69,82637,92.67688262892844,49.589378491733434,mem
70,82638,123.81092291514,40.501566375114265,mem
71,82640,48.73564179522765,69.73303280914772,mem
72,82641,42.06704062758486,29.784696083537217,mem
73,82642,42.18899929815545,59.641949886937255,mem
