,Unnamed: 0,v,R
0,0,60.203352814005186,2.6955914082838546
1,1,61.596524322217576,4.230460148724311
2,2,33.32100216654837,5.216341750908921
3,3,0.4750723691126382,7.894246401253508
4,4,69.24400478759665,8.035753969965526
5,5,49.223462688192605,11.706278429260134
6,6,56.44381742508085,12.77677662858345
7,7,57.505262076952846,13.110607181991384
8,8,55.754558361957294,13.988648033921585
9,9,41.80410068486201,14.498127916831148
10,10,34.22945976486159,15.617404820647463
11,11,63.85533984762733,17.210909853260368
12,12,45.670666443910534,17.383636226091465
13,13,53.77438382192639,17.444332868806246
14,14,59.262366029535436,17.965975871275184
15,15,41.319182174796026,18.541111800744734
16,16,37.38372573409066,18.871831042564928
17,17,44.16028379851974,19.103279999176518
18,18,49.85504109003175,19.219224630757523
19,19,55.87958950400782,19.95984456063332
20,20,56.76321425669045,20.15944748444189
21,21,54.15499459188164,20.861424680094625
22,22,48.12831198512382,20.911157794573683
23,23,93.63849854980214,22.07304732825891
24,24,43.882471259842816,22.21229290866928
25,25,17.040654226685888,23.27673115663548
26,26,57.8734623626289,23.495239370393485
27,27,50.64066740526674,24.27754644100241
28,28,67.62237591735821,24.52272848580381
29,29,36.45179419777006,24.61025221614211
30,30,28.753935905279523,24.832799397169172
31,31,46.7715295785777,25.15049747319862
32,32,49.98783988548312,25.22143569643709
33,33,48.288248249940864,26.01589893096889
34,34,57.38007609245966,26.48810718064361
35,35,49.925960529228185,26.520304839252372
36,36,32.92723439356499,26.64692150474835
37,37,54.31797689956476,26.803918607789782
38,38,56.10441110453596,27.16858052807363
39,39,48.094597925234225,27.30927921453425
40,40,64.115335245737,27.328729351520554
41,41,31.06585660528682,27.60208589620025
42,42,35.23453923470558,27.61172003599895
43,43,46.0339655182386,28.0526369792038
44,44,58.89041605796781,28.239126937969214
45,45,29.79069182081049,28.6440149266056
46,46,94.38141527059976,29.06159077059905
47,47,27.249545593731888,29.516649553995205
48,48,48.26905874576286,30.187146415668177
49,49,48.54955939477851,30.250073787822608
50,50,23.055641403596226,30.347507098308444
51,51,49.95526549062171,30.792866598252694
52,52,48.82049962619158,30.975841514215013
53,53,36.015011676622194,31.007542831537165
54,54,56.76947020883476,31.140872088349308
55,55,30.44512571866962,31.638708109546
56,56,70.97724320206699,32.55655238171803
57,57,77.43872805553926,32.56458518787809
58,58,38.76553309923505,33.01770629402279
59,59,35.021093231750704,33.70979787068363
60,60,55.8113120349665,33.85533387783559
61,61,98.26400620480888,34.46668673837569
62,62,65.96441670997254,34.48357440705844
63,63,18.433108553877872,34.80273243751071
64,64,32.32198261635657,34.82579091377265
65,65,86.34248151079025,34.894591470459126
66,66,56.1921954397796,35.52165674100692
67,67,44.62627887982135,35.7702653935115
68,68,64.03077101284069,35.77255516608624
69,69,60.24089459548886,36.02420556760405
70,70,53.44524344599935,36.1176797376608
71,71,49.78509399893996,36.502995893983524
72,72,2.011550539118673,36.627528899162606
73,73,91.83549330858172,36.96958322687197
74,74,25.206790715390127,37.0640765047467
75,75,53.64262377373103,37.881615548828506
76,76,89.9819194419747,38.214318519006014
77,77,37.181079262730826,38.24372016197035
78,78,56.230083912019644,38.323736957749794
79,79,94.76777137919512,38.67516394292825
80,80,49.92895751911638,38.70428966016729
81,81,41.165480120331615,38.84447899479985
82,82,44.306290446932145,38.958822222766926
83,83,78.39566415546622,39.02714373942703
84,84,32.84698838255868,39.656922614370615
85,85,65.46386734378832,39.92876864255717
86,86,62.075030044503315,41.3852605757491
87,87,57.67201442830918,41.858498594132975
88,88,59.45372755086073,42.82476002017757
89,89,39.84089234364653,43.076249115213
90,90,63.43770990961654,43.12834880661208
91,91,25.270498276288517,43.18785662087457
92,92,37.92265786766614,43.501667175250645
93,93,35.267160590615724,43.70599141850282
94,94,27.484381924797365,43.707149469351904
95,95,34.29889256977025,43.8362499776246
96,96,72.47342122512961,43.97205751107737
97,97,36.80219580294737,44.02033397466313
98,98,47.97060779436628,44.08465510012249
99,99,29.935913243040318,44.36857200966346
100,100,65.65316027153578,44.485800471260156
101,101,46.49459213740239,44.52851948990508
102,102,23.85770579684594,44.58274522685178
103,103,51.58765034913822,44.62460756536395
104,104,36.57244346524078,44.6300587513033
105,105,32.297405628965194,44.70837355301786
106,106,10.702899843259443,44.8431766345831
107,107,62.353701224495055,45.50590310727213
108,108,98.7070415856807,45.643369029833295
109,109,42.38268709959557,45.64727311314292
110,110,17.22479009987876,45.73136573889611
111,111,20.41150227296452,45.87716602705893
112,112,70.83337457038796,45.99806352654438
113,113,59.786767772296685,46.11344205784383
114,114,38.33623957893515,46.13864549940958
115,115,31.578150551342354,46.380364974814064
116,116,36.16225350271983,46.43289266889853
117,117,37.34019282412093,46.78099727450726
118,118,67.46232140087075,46.864368753516466
119,119,54.95098804700841,47.295265122494364
120,120,61.480872141649954,47.30094137911637
121,121,67.72392276049936,47.471890483756
122,122,55.333919551412585,47.72431579053582
123,123,58.52089110444946,47.821755202953504
124,124,54.16324194789575,47.91463276241373
125,125,27.88814241465013,47.934397515943864
126,126,49.80392255644849,48.27135166365265
127,127,71.91549721454939,48.520844890481605
128,128,27.045545229813506,48.54371849464208
129,129,50.509912143108046,48.800414904399005
130,130,62.6951919980117,49.07687773564494
131,131,56.22502539538795,49.19005846243257
132,132,61.774235891023395,49.30860922394991
133,133,58.93504274606292,49.85454345973138
134,134,55.61586028957137,49.875386955302716
135,135,56.302271483149745,49.878761420050104
136,136,9.576115102204938,49.962417632465325
137,137,49.33935683825607,50.09067754260806
138,138,92.32209334010315,50.232946392210465
139,139,43.11882947637863,50.33697012086704
140,140,45.97944352417729,50.345562192296065
141,141,44.59641605881826,50.788609877424925
142,142,62.19302480294868,50.84646297397624
143,143,76.20452458959413,51.1312106193412
144,144,47.858690076608326,51.35145391204961
145,145,46.44666880996518,51.363797686601686
146,146,45.31638186860083,51.701736701723874
147,147,56.05724306078066,51.84058854778762
148,148,40.59661922002706,52.05816935005048
149,149,71.16102061646811,52.294803221436474
150,150,49.55383705052497,52.4843419963354
151,151,38.47657846845706,52.54909460762178
152,152,60.99874236867626,52.66508897833704
153,153,61.095050766890715,52.670727487354156
154,154,72.62907927493923,52.6977439152171
155,155,47.89954875391384,52.76954037569779
156,156,76.0883010612678,52.86298371532964
157,157,19.07940256145395,52.91603657512218
158,158,42.68194617295296,53.049600615379035
159,159,44.680504238067634,53.182532769683114
160,160,63.06370228402031,53.277428131926115
161,161,12.548296866290428,53.30463986673024
162,162,42.2590106699436,53.33095535502082
163,163,52.58345275257022,53.400669621691314
164,164,17.945984586586977,53.406448145377595
165,165,37.03987738767977,53.415127239439535
166,166,31.6838726361565,53.46463790947104
167,167,55.46803108652495,53.720542084073976
168,168,41.846068264792855,53.813444020655616
169,169,49.98296301189131,53.97590444544144
