#x_outof_circle[deg],y_outof_circle[deg]
-6.554854e-01,-1.076283e+00
-2.399433e-01,-1.385900e+00
-3.732816e-01,-1.394135e+00
-4.322219e-01,-1.052746e+00
-4.420450e-01,-1.103217e+00
-4.424403e-01,-1.037782e+00
-4.446666e-01,-1.128519e+00
-2.959020e-01,-1.195627e+00
-5.004642e-01,-9.822591e-01
-6.714493e-01,-1.125675e+00
-4.508793e-01,-1.128540e+00
-4.720007e-01,-1.356633e+00
1.181540e+00,-7.911591e-01
4.144867e-01,-1.095342e+00
4.335644e-01,-1.163265e+00
4.434981e-01,-1.227473e+00
-1.893469e+00,-5.954634e-01
1.164281e+00,-7.868429e-01
1.213876e+00,-8.375632e-01
-1.747312e+00,-8.027287e-01
-1.629950e+00,-1.002135e+00
-7.293009e-01,1.741844e+00
-4.355803e-01,1.802871e+00
-6.222074e-01,1.682310e+00
-5.047788e-01,1.718608e+00
-4.264717e-01,1.743239e+00
-1.292406e+00,-1.478210e+00
-4.884202e-01,1.638618e+00
-5.075533e-01,1.731591e+00
-8.293886e-01,1.759523e+00
-5.556437e-01,1.555341e+00
-5.301000e-01,1.616728e+00
-3.685397e-01,1.577289e+00
-1.572741e+00,-1.179205e+00
-6.426010e-01,1.527901e+00
-5.495072e-01,1.535406e+00
-7.230961e-01,1.787395e+00
-1.795265e+00,4.856954e-01
-1.767841e+00,4.918941e-01
-4.715058e-01,1.559322e+00
-4.385077e-01,1.494317e+00
-1.910255e+00,4.736393e-01
-3.253128e-01,-1.947492e+00
-4.221917e-01,1.773743e+00
-2.748000e-01,1.791828e+00
-2.393644e-01,1.737364e+00
-2.739429e-01,1.651137e+00
-8.051832e-01,1.827351e+00
-3.051877e-01,1.583775e+00
-3.731199e-01,1.841391e+00
-4.106717e-01,1.754601e+00
-4.215632e-01,1.771221e+00
-7.076987e-01,1.677308e+00
-4.957922e-01,1.632672e+00
-7.487219e-01,1.668735e+00
-2.653474e-01,1.743833e+00
-1.767592e+00,5.386995e-01
-2.554542e-01,-1.938428e+00
-3.552043e-01,1.720489e+00
-5.492967e-01,1.890249e+00
-1.714219e+00,-9.872117e-01
-6.520563e-01,1.549052e+00
-5.512315e-01,1.541593e+00
-3.722026e-01,1.765146e+00
-2.816311e-01,1.800393e+00
-5.188637e-01,1.827979e+00
-1.795063e+00,4.831431e-01
-2.716774e-01,1.465946e+00
-1.847430e+00,6.034226e-01
-2.816628e-01,1.561819e+00
-2.559322e-01,1.767473e+00
-4.899730e-01,1.809807e+00
-5.035322e-01,1.689521e+00
-2.938430e-01,1.857373e+00
-2.482359e-01,1.753567e+00
-2.240472e-01,1.708262e+00
-2.799513e-01,1.649707e+00
-1.800548e+00,5.243135e-01
-4.303340e-01,1.940418e+00
-3.929686e-01,1.762908e+00
-1.743443e+00,5.009774e-01
-1.911333e+00,5.321224e-01
-3.249648e-01,-1.813499e+00
-1.883943e+00,6.064349e-01
-2.502951e-01,-1.982199e+00
1.965174e+00,-3.511232e-01
-3.670556e-01,1.830695e+00
-7.201539e-01,1.672253e+00
-5.774175e-01,1.489063e+00
-3.437956e-01,-1.960959e+00
-5.117936e-01,1.702047e+00
-6.909726e-01,1.658711e+00
-5.947465e-01,1.690290e+00
-3.610334e-01,1.937055e+00
-4.062294e-01,1.730508e+00
1.935808e+00,-4.394085e-01
-6.133410e-01,1.829091e+00
-5.829118e-01,1.754252e+00
-1.881081e+00,5.503150e-01
-4.768483e-01,1.885621e+00
-5.419077e-01,1.581212e+00
-3.775761e-01,1.461741e+00
-3.782658e-01,1.863097e+00
-5.494490e-01,1.776068e+00
-7.666627e-01,1.758050e+00
-4.428684e-01,1.443954e+00
-6.932433e-01,1.603984e+00
-5.898741e-01,1.699718e+00
-4.215139e-01,1.948563e+00
-5.825292e-01,1.902699e+00
-5.845534e-01,1.832181e+00
-4.206171e-01,1.586243e+00
-4.812176e-01,1.810758e+00
-3.819348e-01,1.574435e+00
-3.203740e-01,1.914509e+00
-1.581172e-01,-1.197211e+00
3.612713e-03,-1.169717e+00
7.691724e-02,-1.093569e+00
-4.282107e-02,-1.332473e+00
4.789487e-01,-1.044766e+00
-1.579576e+00,-1.192141e+00
-3.310974e-01,-1.944689e+00
-3.185453e-01,-1.000561e+00
-2.172276e-01,-9.997588e-01
-1.324010e-02,-1.138167e+00
-1.676965e+00,-8.477042e-01
-1.400172e+00,-1.422827e+00
-1.632421e+00,-1.148441e+00
-5.131936e-01,1.646766e+00
-7.269676e-01,1.603009e+00
-1.756446e+00,-8.009857e-01
-1.639714e+00,-9.173215e-01
-1.495497e+00,-1.223741e+00
-1.297598e-01,-1.089697e+00
-1.512910e+00,-1.196490e+00
-3.720244e-02,-1.099657e+00
-1.460328e+00,-1.328277e+00
-1.751191e+00,-7.338162e-01
-1.853862e+00,-6.853939e-01
-1.523438e+00,-1.203133e+00
-1.876566e-02,-1.102467e+00
-5.291658e-01,-1.247373e+00
-4.336287e-01,-1.169151e+00
-6.511623e-04,-1.165356e+00
-4.732302e-01,-1.111966e+00
-6.198797e-01,-1.138521e+00
-4.888137e-01,-1.024307e+00
-1.637319e-01,-1.001812e+00
-7.058312e-02,-1.129420e+00
7.349304e-02,-1.142842e+00
-4.273152e-01,-1.054666e+00
-5.946625e-01,-1.075683e+00
-5.508724e-02,-1.038318e+00
-4.478504e-01,-1.176648e+00
9.618545e-03,-1.154465e+00
1.216069e-01,-1.227312e+00
-6.770598e-01,-1.104209e+00
-5.617280e-01,-1.285243e+00
-4.512523e-01,-1.136851e+00
-1.899566e-01,-1.024830e+00
-1.164060e-01,-1.161800e+00
-2.036613e-01,-1.195963e+00
1.028786e-01,-1.149442e+00
-5.648650e-01,-1.210060e+00
-2.296124e-01,-1.161166e+00
-3.707585e-01,-1.109228e+00
-1.894402e-01,-1.271568e+00
-2.252042e-01,-1.361663e+00
-8.633314e-02,-1.228182e+00
-3.445049e-01,-1.101141e+00
-4.710014e-01,-1.282875e+00
-1.358531e-01,-1.048733e+00
-2.448329e-01,-9.996545e-01
-5.585578e-01,-1.130198e+00
-6.043186e-01,-1.196991e+00
-1.566461e+00,-1.073648e+00
-5.745259e-01,-1.278596e+00
-4.136190e-01,-1.374481e+00
-2.298544e-01,-1.230899e+00
-2.109008e-01,-1.143216e+00
-5.391386e-01,-1.045280e+00
-3.862116e-01,-1.164511e+00
-4.245774e-01,-1.298276e+00
-5.048171e-01,-1.310700e+00
-5.550917e-01,-9.855831e-01
-5.488370e-01,-1.127031e+00
-4.869724e-01,-1.036901e+00
-3.369373e-01,-1.258309e+00
-2.880894e-01,-1.326934e+00
-6.082521e-03,-1.132273e+00
-4.979086e-01,-1.226929e+00
-3.894883e-01,-1.294408e+00
-5.216028e-01,-1.068343e+00
-4.873846e-01,-1.193596e+00
-4.448172e-01,-1.208211e+00
-4.754581e-01,-1.264318e+00
-3.048275e-01,-1.296551e+00
-3.162190e-01,-1.001452e+00
6.521235e-02,-1.057382e+00
-8.793611e-03,-1.197200e+00
-1.511844e-01,-1.188559e+00
-1.321402e-01,-1.272659e+00
-5.388057e-01,-1.174810e+00
-1.947929e+00,-1.543327e-01
-4.839394e-01,-1.186221e+00
-5.783602e-01,-1.021402e+00
-6.348361e-01,-1.117917e+00
-3.233009e-01,-1.162755e+00
-5.736659e-01,-1.185867e+00
-3.543556e-01,-1.306234e+00
-5.426491e-01,-1.312398e+00
-4.548597e-01,-1.130033e+00
1.038452e+00,-1.556264e+00
1.073750e+00,-1.484764e+00
1.009609e+00,-1.432439e+00
-1.844689e+00,-6.556907e-01
-1.648549e+00,-1.023716e+00
-1.765428e+00,-7.675165e-01
-1.602143e+00,-1.138489e+00
-1.632435e+00,-9.049920e-01
-1.664902e+00,-8.531847e-01
-1.781996e+00,-6.783223e-01
-1.377835e+00,-1.327065e+00
-1.442173e+00,-1.313494e+00
-2.773380e-01,-1.360604e+00
-3.835695e-01,-1.343235e+00
-4.724958e-01,-1.234898e+00
-1.582822e+00,-1.021095e+00
-1.588204e+00,-1.057180e+00
-1.904971e+00,-5.752861e-02
1.401235e+00,-7.226506e-01
1.364531e+00,-1.057407e+00
1.529941e+00,-1.015504e+00
1.607732e+00,-1.086494e+00
-1.934027e+00,-5.132703e-03
1.574059e+00,-1.034263e+00
1.473452e+00,-1.067009e+00
-3.695959e-01,-1.024398e+00
-4.625709e-01,-1.180422e+00
1.582282e+00,-8.162954e-01
1.542668e+00,-9.042429e-01
-3.984528e-01,-1.380074e+00
1.315290e+00,-8.110932e-01
1.488191e+00,-7.918974e-01
1.476422e+00,-7.110289e-01
1.407015e+00,-9.087730e-01
1.391975e+00,-1.157761e+00
1.432542e+00,-1.166466e+00
-5.008891e-01,-1.395453e+00
1.441857e+00,-8.053263e-01
1.323901e+00,-9.444597e-01
1.589970e+00,-7.838459e-01
1.287116e+00,-7.823278e-01
1.486994e+00,-7.395115e-01
1.331812e+00,-7.942417e-01
1.413483e+00,-1.138352e+00
1.441044e+00,-1.158406e+00
1.363590e+00,-8.978406e-01
7.251957e-01,-1.449255e+00
1.013107e+00,-1.645257e+00
1.388606e+00,-7.192337e-01
1.253213e+00,-8.706177e-01
1.472220e+00,-1.335703e+00
-1.623684e+00,-9.167963e-01
-1.783628e+00,-8.516903e-01
1.486308e+00,-8.505631e-01
1.481164e+00,-1.147678e+00
-1.453713e+00,-1.304074e+00
